"filename", "language", "Rust", "Markdown", "Ignore", "WGSL", "comment", "blank", "total"
"/Users/jtd/Documents/personal/code/rust/peregrine/license.md", "Markdown", 0, 4, 0, 0, 0, 3, 7
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/Cargo.toml", "Ignore", 0, 0, 22, 0, 0, 3, 25
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/build.rs", "Rust", 11, 0, 0, 0, 0, 3, 14
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/dev/mod.rs", "Rust", 1, 0, 0, 0, 0, 0, 1
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/dev/normal.rs", "Rust", 80, 0, 0, 0, 39, 12, 131
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/main.rs", "Rust", 223, 0, 0, 0, 61, 30, 314
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/shaders/shader_2d.wgsl", "WGSL", 0, 0, 0, 21, 1, 5, 27
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/shaders/shader_3d.wgsl", "WGSL", 0, 0, 0, 79, 3, 9, 91
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/shaders/shader_placement.wgsl", "WGSL", 0, 0, 0, 30, 2, 6, 38
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/shaders/shader_solid.wgsl", "WGSL", 0, 0, 0, 32, 1, 5, 38
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/ship/circuit.rs", "Rust", 20, 0, 0, 0, 0, 2, 22
"/Users/jtd/Documents/personal/code/rust/peregrine/peregrine/src/ship/grid.rs", "Rust", 170, 0, 0, 0, 12, 10, 192
